# Transformed ground truth trajectory
# file: stable_seq_005_part_1_dif_1_transformed
# timestamp tx ty tz qx qy qz qw
0.000000000000e+00 -1.269600000000e+01 -7.138000000000e+00 5.965000000000e+00 8.520684666556e-01 -2.362065215862e-01 -2.951450722325e-01 3.620430825582e-01
1.000000000000e+00 -1.270400000000e+01 -7.342000000000e+00 6.067000000000e+00 8.526652295839e-01 -2.283682502249e-01 -3.046508149696e-01 3.577678430018e-01
2.000000000000e+00 -1.280100000000e+01 -7.439000000000e+00 6.224000000000e+00 8.513511473274e-01 -2.316345785617e-01 -3.034630574643e-01 3.598010821459e-01
3.000000000000e+00 -1.302400000000e+01 -7.448000000000e+00 6.263000000000e+00 8.474402138371e-01 -2.443532740350e-01 -2.946504457401e-01 3.678555100379e-01
4.000000000000e+00 -1.319500000000e+01 -7.485000000000e+00 6.291000000000e+00 8.461203179817e-01 -2.469965179617e-01 -2.935971203542e-01 3.699646720067e-01
5.000000000000e+00 -1.296200000000e+01 -7.512000000000e+00 6.257000000000e+00 8.492002133426e-01 -2.360955938825e-01 -3.022286749111e-01 3.630092233948e-01
6.000000000000e+00 -1.311100000000e+01 -7.575000000000e+00 6.314000000000e+00 8.480393514422e-01 -2.384619195599e-01 -3.015218781416e-01 3.647598227976e-01
7.000000000000e+00 -1.321500000000e+01 -7.624000000000e+00 6.367000000000e+00 8.472662622183e-01 -2.395797476498e-01 -3.016420238221e-01 3.657232763815e-01
8.000000000000e+00 -1.326900000000e+01 -7.649000000000e+00 6.421000000000e+00 8.469933026243e-01 -2.396608325678e-01 -3.021278786720e-01 3.659013194451e-01
9.000000000000e+00 -1.332200000000e+01 -7.665000000000e+00 6.442000000000e+00 8.466976427340e-01 -2.395822323586e-01 -3.028558554108e-01 3.660352258597e-01
1.000000000000e+01 -1.334600000000e+01 -7.685000000000e+00 6.473000000000e+00 8.463368076764e-01 -2.405790488714e-01 -3.023316189962e-01 3.666487711303e-01
1.100000000000e+01 -1.336100000000e+01 -7.700000000000e+00 6.502000000000e+00 8.459633471210e-01 -2.414953305976e-01 -3.019526241026e-01 3.672201430000e-01
1.200000000000e+01 -1.335600000000e+01 -7.730000000000e+00 6.505000000000e+00 8.456652909656e-01 -2.419326106984e-01 -3.021158413173e-01 3.674844839743e-01
1.300000000000e+01 -1.338500000000e+01 -7.750000000000e+00 6.516000000000e+00 8.457175354996e-01 -2.410212426995e-01 -3.033700380325e-01 3.669294628948e-01
1.400000000000e+01 -1.343900000000e+01 -7.779000000000e+00 6.533000000000e+00 8.451724197976e-01 -2.417383323630e-01 -3.036826766103e-01 3.674547474270e-01
1.500000000000e+01 -1.364900000000e+01 -7.735000000000e+00 6.613000000000e+00 8.438217828549e-01 -2.458189075232e-01 -3.007892117480e-01 3.702211684651e-01
1.600000000000e+01 -1.358900000000e+01 -7.837000000000e+00 6.635000000000e+00 8.439764687791e-01 -2.433626858177e-01 -3.042839245254e-01 3.686320883674e-01
1.700000000000e+01 -1.399000000000e+01 -7.939000000000e+00 6.819000000000e+00 8.390549982011e-01 -2.547725061838e-01 -2.994617696354e-01 3.760323504878e-01
1.800000000000e+01 -1.402100000000e+01 -8.143000000000e+00 6.931000000000e+00 8.405840597668e-01 -2.446506739378e-01 -3.108845228698e-01 3.700206746220e-01
1.900000000000e+01 -1.422700000000e+01 -8.228000000000e+00 7.000000000000e+00 8.385869742449e-01 -2.472580701927e-01 -3.115334959917e-01 3.722663216389e-01
2.000000000000e+01 -1.441400000000e+01 -8.254000000000e+00 7.204000000000e+00 8.344118643640e-01 -2.583088983343e-01 -3.048827338827e-01 3.795785455345e-01
2.100000000000e+01 -1.453500000000e+01 -8.295000000000e+00 7.241000000000e+00 8.340382081949e-01 -2.567598551377e-01 -3.079632009560e-01 3.789634691070e-01
2.200000000000e+01 -1.465300000000e+01 -8.447000000000e+00 7.253000000000e+00 8.334409882501e-01 -2.551349336745e-01 -3.117280747955e-01 3.782960376581e-01
2.300000000000e+01 -1.472800000000e+01 -8.480000000000e+00 7.350000000000e+00 8.322209041342e-01 -2.574259255990e-01 -3.111637212043e-01 3.798912978180e-01
2.400000000000e+01 -1.487500000000e+01 -8.475000000000e+00 7.328000000000e+00 8.303372271783e-01 -2.623188703509e-01 -3.081106013738e-01 3.831406487711e-01
